Environment_1,Environment_2,n,R2_SMA,Spearman,NMI_obs,NMI_perm_media,NMI_corrigida,Z_MI,p_MI,NMI_bins_4,NMI_bins_6,NMI_bins_8,p_MI_FDR,Year_1,Location_1,Treatment_1,Nitrogen_1,Fungicide_1,Water_1,Year_2,Location_2,Treatment_2,Nitrogen_2,Fungicide_2,Water_2,same_year,same_location,same_management,same_nitrogen,same_fungicide,same_water,z_R2,z_NMI,MI_advantage
2017__KIE__HN_NF_RF,2017__KIE__HN_WF_RF,214,0.4973842679087141,0.7217530787856895,0.24286780073875724,0.034123480676535235,0.20874432006222202,21.058540485843956,0.001,0.22779788260492165,0.24286780073875724,0.2415381686690371,0.0010112359550561798,2017,KIE,HN_NF_RF,HN,NF,RF,2017,KIE,HN_WF_RF,HN,WF,RF,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.27011866753046704,0.9305933085501009,0.6604746410196338
2016__KIE__HN_NF_RF,2017__KIE__HN_NF_RF,211,0.5587894625359284,0.8081986688979446,0.2660998692702568,0.03423298074327469,0.23186688852698212,23.997371678736464,0.001,0.3141411170849106,0.2660998692702568,0.27169508216846594,0.0010112359550561798,2016,KIE,HN_NF_RF,HN,NF,RF,2017,KIE,HN_NF_RF,HN,NF,RF,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.6559940771111189,1.3157749523858704,0.6597808752747515
2015__KAL__HN_NF_RF,2015__QLB__HN_NF_RF,220,0.5649459771942585,0.7928030068239578,0.26648016698875054,0.03278612842966598,0.23369403855908455,25.358757818072405,0.001,0.28312593673562075,0.26648016698875054,0.24387850282569024,0.0010112359550561798,2015,KAL,HN_NF_RF,HN,NF,RF,2015,QLB,HN_NF_RF,HN,NF,RF,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,0.6946821332242015,1.3462120837094254,0.6515299504852239
2015__GGE__HN_NF_RF,2015__HAN__LN_NF_RF,220,0.8003935373781395,0.8441692071023256,0.35496707370024677,0.03297186516350935,0.3219952085367374,33.89528837044526,0.001,0.36190491597679036,0.35496707370024677,0.33736373175051093,0.0010112359550561798,2015,GGE,HN_NF_RF,HN,NF,RF,2015,HAN,LN_NF_RF,LN,NF,RF,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,2.174254411632951,2.8171554979953393,0.6429010863623881
2016__GGE__HN_NF_RF,2016__QLB__HN_NF_RF,220,0.5930814926686464,0.7507018364391451,0.2768421606832228,0.03331397961669684,0.24352818106652596,26.514829706702503,0.001,0.26786433039623203,0.2768421606832228,0.29904194189090183,0.0010112359550561798,2016,GGE,HN_NF_RF,HN,NF,RF,2016,QLB,HN_NF_RF,HN,NF,RF,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,0.8714880797463631,1.5100317381956685,0.6385436584493054
2017__GGE__LN_NF_RF,2017__HAN__LN_NF_RF,220,0.5918325823876571,0.7470436090903456,0.2757705895606103,0.032802782699062595,0.2429678068615477,23.982967927774723,0.001,0.26813735044107234,0.2757705895606103,0.26189758257674817,0.0010112359550561798,2017,GGE,LN_NF_RF,LN,NF,RF,2017,HAN,LN_NF_RF,LN,NF,RF,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,0.8636398224591426,1.50069688174295,0.6370570592838074
2016__QLB__HN_WF_RF,2017__GGE__HN_WF_RF,220,0.47681062340840114,0.6873252452623928,0.2319320919975373,0.032592189678890895,0.1993399023186464,20.992255784800935,0.001,0.22182767173195764,0.2319320919975373,0.20819164494796527,0.0010112359550561798,2016,QLB,HN_WF_RF,HN,WF,RF,2017,GGE,HN_WF_RF,HN,WF,RF,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.14083215445415243,0.7739321187990809,0.6330999643449284
2017__HAN__LN_NF_RF,2017__QLB__HN_WF_RF,220,0.2633121313637559,0.5342522103198978,0.15132094742303867,0.03314241352488726,0.11817853389815142,12.622434974087666,0.001,0.13363139113989977,0.15132094742303867,0.16424306024172952,0.0010112359550561798,2017,HAN,LN_NF_RF,LN,NF,RF,2017,QLB,HN_WF_RF,HN,WF,RF,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,-1.2008103330051596,-0.5780746598514548,0.6227356731537048
2015__QLB__HN_NF_RF,2016__KAL__LN_NF_RF,220,0.4114454715052995,0.7194074257732599,0.20677637895182654,0.03276771514144334,0.1740086638103832,18.866059468816964,0.001,0.23867357887713253,0.20677637895182654,0.21849546851846394,0.0010112359550561798,2015,QLB,HN_NF_RF,HN,NF,RF,2016,KAL,LN_NF_RF,LN,NF,RF,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,-0.269927959833187,0.35195788596767685,0.6218858458008638
2015__QLB__HN_WF_RF,2017__QLB__HN_NF_RF,220,0.23533784009327843,0.5089782095422708,0.14057343509244827,0.03314901282834564,0.10742442226410262,11.074319548151937,0.001,0.09060999844698066,0.14057343509244827,0.14473464348141535,0.0010112359550561798,2015,QLB,HN_WF_RF,HN,WF,RF,2017,QLB,HN_NF_RF,HN,NF,RF,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,-1.3766031330647799,-0.7572193947241974,0.6193837383405825
2015__GGE__LN_NF_RF,2017__GGE__HN_WF_RF,220,0.6472900917095296,0.7808850295554566,0.2961359552915674,0.03337806483784345,0.26275789045372394,26.573983299980092,0.001,0.33325380082907785,0.2961359552915674,0.2943357501837526,0.0010112359550561798,2015,GGE,LN_NF_RF,LN,NF,RF,2017,GGE,HN_WF_RF,HN,WF,RF,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1.2121394771514862,1.8303651424856617,0.6182256653341756
