BRISONr,Merito_multicarater,DP_indice_local,n_ambientes,Fracao_ambientes,Entropia_Shannon,Entropia_normalizada,Fracao_quartil_superior,Fracao_quartil_inferior,genotype,RYear,Genotipo,Quadrante,Pareto,Z_merito,Z_estabilidade,Escore_integrado_exploratorio,Rank_exploratorio
BRISONr_208,0.15059738790696975,0.2809966902471782,45,1,1.2166953291616354,0.8776601588271282,0.24444444444444444,0.044444444444444446,BRISONr_208,NA,BRISONr_208,Superior e estável,FALSE,0.4673203317853751,-0.35623509168522505,0.11108524010015003,73
BRISONr_48,0.2329686499089009,0.37004819928249366,45,1,1.283258024286105,0.9256749939092663,0.35555555555555557,0.08888888888888889,BRISONr_48,NA,BRISONr_48,Superior e instável,FALSE,0.719960279494676,-0.61026533257396,0.10969494692071602,74
BRISONr_192,-0.5767162815524141,0.3835531586885593,45,1,0.6409067376216963,0.46231648601957265,0,0.7777777777777778,BRISONr_192,NA,BRISONr_192,Inferior e estável,FALSE,-1.7634150358015706,1.8412077002023535,0.07779266440078292,75
BRISONr_143,0.12138959655556758,0.2630841594465276,45,1,1.2019806666895447,0.8670457735387082,0.17777777777777778,0.06666666666666667,BRISONr_143,NA,BRISONr_143,Superior e estável,FALSE,0.37773745178106705,-0.3000779717640475,0.07765948001701956,76
BRISONr_145,0.18810728928074516,0.3164165425260193,45,1,1.257623463487866,0.9071835670397733,0.37777777777777777,0.08888888888888889,BRISONr_145,NA,BRISONr_145,Superior e instável,FALSE,0.5823665176921721,-0.5124334517813256,0.06993306591084647,77
BRISONr_39,0.2027791350333994,0.3117813701268141,45,1,1.283258024286105,0.9256749939092663,0.35555555555555557,0.08888888888888889,BRISONr_39,NA,BRISONr_39,Superior e instável,FALSE,0.6273663665916899,-0.61026533257396,0.017101034017729888,78
BRISONr_160,-0.41838594017821285,0.37869359436482725,45,1,0.7847807998738474,0.5660996840814368,0,0.6444444444444445,BRISONr_160,NA,BRISONr_160,Inferior e estável,FALSE,-1.2778018717755517,1.2921259266471992,0.014324054871647451,79
BRISONr_76,0.17708397326662584,0.26661238630631146,45,1,1.266802647609206,0.9138049487454053,0.3111111111111111,0.08888888888888889,BRISONr_76,NA,BRISONr_76,Superior e instável,FALSE,0.548557032275706,-0.5474649412537049,0.0010920910220010294,80
BRISONr_84,0.15500665692452914,0.3061065224234333,45,1,1.250135419638823,0.9017820851762867,0.28888888888888886,0.06666666666666667,BRISONr_84,NA,BRISONr_84,Superior e instável,FALSE,0.48084394993761764,-0.4838560394755173,-0.003012089537899665,81
BRISONr_62,0.1961369905586916,0.3067296143156213,45,1,1.283258024286105,0.9256749939092663,0.3333333333333333,0.08888888888888889,BRISONr_62,NA,BRISONr_62,Superior e instável,FALSE,0.6069943218762834,-0.61026533257396,-0.0032710106976765463,82
BRISONr_82,0.2093576344363161,0.3516582011811879,45,1,1.2993829963066392,0.9373067024935153,0.4,0.1111111111111111,BRISONr_82,NA,BRISONr_82,Superior e instável,FALSE,0.647543206241416,-0.6718047657210198,-0.024261559479603734,83
BRISONr_205,-0.6159662805944561,0.4934750438738758,45,1,0.6371502047079385,0.45960672031676536,0.022222222222222223,0.8,BRISONr_205,NA,BRISONr_205,Inferior e estável,FALSE,-1.883798255198393,1.8555441533643524,-0.028254101834040535,84
