Trait,Trait_abbrev,Environment_1,Environment_2,n,R2_SMA,Spearman,NMI_obs,NMI_perm_media,NMI_corrigida,Z_MI,p_MI
Seedyield,GY,2015__GGE__LN_NF_RF,2015__QLB__HN_WF_RF,220,0.28321701469687466,0.555714712362577,0.15129281730319366,NA,NA,NA,NA
Seedyield,GY,2015__GGE__LN_NF_RF,2015__QLB__LN_NF_RF,220,0.4602616641132707,0.6221567312622913,0.16137839890979064,NA,NA,NA,NA
Seedyield,GY,2015__GGE__LN_NF_RF,2016__GGE__HN_NF_RF,220,0.5407159750539845,0.6508308774223359,0.17976151429926632,NA,NA,NA,NA
Seedyield,GY,2015__GGE__LN_NF_RF,2016__GGE__HN_WF_RF,220,0.7061536018913211,0.7860635738153869,0.28961821486825357,NA,NA,NA,NA
Seedyield,GY,2015__GGE__LN_NF_RF,2016__GGE__LN_NF_RF,220,0.6298817553753431,0.7424082766548521,0.22673780203467797,NA,NA,NA,NA
Seedyield,GY,2015__GGE__LN_NF_RF,2016__HAN__HN_NF_RF,220,0.6136608118494002,0.7148171731572215,0.21248140283035305,NA,NA,NA,NA
Seedyield,GY,2015__GGE__LN_NF_RF,2016__HAN__HN_WF_RF,220,0.5580911973873262,0.7186241639102235,0.20984517492530783,NA,NA,NA,NA
Seedyield,GY,2015__GGE__LN_NF_RF,2016__HAN__LN_NF_RF,220,0.6248813224750057,0.7291131109019908,0.22391649055047738,NA,NA,NA,NA
Seedyield,GY,2015__GGE__LN_NF_RF,2016__KAL__HN_NF_RF,220,0.5007616232056962,0.604400917374326,0.16241818432597716,NA,NA,NA,NA
Seedyield,GY,2015__GGE__LN_NF_RF,2016__KAL__HN_WF_RF,220,0.5436753568017384,0.7308047311270518,0.22549719561397583,NA,NA,NA,NA
Seedyield,GY,2015__GGE__LN_NF_RF,2016__KAL__LN_NF_RF,220,0.6826652797858866,0.7792869499557654,0.25644550561307,NA,NA,NA,NA
Seedyield,GY,2015__GGE__LN_NF_RF,2016__KIE__HN_NF_RF,216,0.5842292717026145,0.711947034377642,0.2665869110876022,NA,NA,NA,NA
Seedyield,GY,2015__GGE__LN_NF_RF,2016__KIE__HN_WF_RF,216,0.5010418265426062,0.7042415365746197,0.21594474135063094,NA,NA,NA,NA
Seedyield,GY,2015__GGE__LN_NF_RF,2016__KIE__LN_NF_RF,215,0.546071771500398,0.6697674418604652,0.21677117139228466,NA,NA,NA,NA
Seedyield,GY,2015__GGE__LN_NF_RF,2016__QLB__HN_NF_RF,220,0.35692091216429545,0.5593605427610263,0.12794105150757373,NA,NA,NA,NA
Seedyield,GY,2015__GGE__LN_NF_RF,2016__QLB__HN_WF_RF,220,0.42380050197723146,0.6447462287913537,0.193129567463997,NA,NA,NA,NA
Seedyield,GY,2015__GGE__LN_NF_RF,2016__QLB__LN_NF_RF,220,0.3442285239718679,0.5716132376889831,0.14118751343353123,NA,NA,NA,NA
Seedyield,GY,2015__GGE__LN_NF_RF,2017__GGE__HN_NF_RF,220,0.542975686198615,0.6967604514743918,0.20288822191163294,NA,NA,NA,NA
Seedyield,GY,2015__GGE__LN_NF_RF,2017__GGE__HN_WF_RF,220,0.6472900917095296,0.7808850295554566,0.2961359552915674,NA,NA,NA,NA
Seedyield,GY,2015__GGE__LN_NF_RF,2017__GGE__LN_NF_RF,220,0.6106550771517415,0.753002034226853,0.2742199224511057,NA,NA,NA,NA
Seedyield,GY,2015__GGE__LN_NF_RF,2017__HAN__HN_NF_RF,220,0.5334925542290389,0.653981956802263,0.18410075175248553,NA,NA,NA,NA
Seedyield,GY,2015__GGE__LN_NF_RF,2017__HAN__HN_WF_RF,220,0.5644264706624298,0.7152521934149654,0.23490407407625066,NA,NA,NA,NA
Seedyield,GY,2015__GGE__LN_NF_RF,2017__HAN__LN_NF_RF,220,0.6953100193886176,0.7855733307788102,0.28884446627199806,NA,NA,NA,NA
Seedyield,GY,2015__GGE__LN_NF_RF,2017__KAL__HN_NF_RF,220,0.6740516442782489,0.7527619841882534,0.26550816164625285,NA,NA,NA,NA
Seedyield,GY,2015__GGE__LN_NF_RF,2017__KAL__HN_WF_RF,220,0.5823212481354332,0.74368741653189685,0.2438933078671181,NA,NA,NA,NA
Seedyield,GY,2015__GGE__LN_NF_RF,2017__KAL__LN_NF_RF,220,0.40914703301191024,0.5890140479987378,0.14014134622346675,NA,NA,NA,NA
Seedyield,GY,2015__GGE__LN_NF_RF,2017__KIE__HN_NF_RF,215,0.3662241516787536,0.6195814919461954,0.17886908987060066,NA,NA,NA,NA
Seedyield,GY,2015__GGE__LN_NF_RF,2017__KIE__HN_WF_RF,216,0.5435781142548824,0.7015599137879707,0.2224009827194526,NA,NA,NA,NA
Seedyield,GY,2015__GGE__LN_NF_RF,2017__KIE__LN_NF_RF,212,0.5569430095976232,0.6977593001449633,0.21135460617096033,NA,NA,NA,NA
Seedyield,GY,2015__GGE__LN_NF_RF,2017__QLB__HN_NF_RF,220,0.2973994464255149,0.5285529941452585,0.14734799250288352,NA,NA,NA,NA
Seedyield,GY,2015__GGE__LN_NF_RF,2017__QLB__HN_WF_RF,220,0.23202825949650663,0.44885300034373365,0.1252852148277194,NA,NA,NA,NA
Seedyield,GY,2015__GGE__LN_NF_RF,2017__QLB__LN_NF_RF,220,0.4044435712959764,0.5947459470424822,0.16691886464159433,NA,NA,NA,NA
Seedyield,GY,2015__HAN__HN_NF_RF,2015__HAN__HN_WF_RF,220,0.5129125732245768,0.725689298614359,0.22618062010077733,NA,NA,NA,NA
Seedyield,GY,2015__HAN__HN_NF_RF,2015__HAN__LN_NF_RF,220,0.8406149841341332,0.893159700895398,0.3947349904249984,NA,NA,NA,NA
Seedyield,GY,2015__HAN__HN_NF_RF,2015__KAL__HN_NF_RF,220,0.8287185844640794,0.8776161791472026,0.38258593364786064,NA,NA,NA,NA
Seedyield,GY,2015__HAN__HN_NF_RF,2015__KAL__HN_WF_RF,220,0.2308551291585859,0.4556161002575185,0.11042707550677462,NA,NA,NA,NA
Seedyield,GY,2015__HAN__HN_NF_RF,2015__KAL__LN_NF_RF,220,0.6210007033867191,0.6970478353234196,0.21848752739383473,NA,NA,NA,NA
Seedyield,GY,2015__HAN__HN_NF_RF,2015__KIE__HN_NF_RF,220,0.5206740196861877,0.6664352569267961,0.1768993139139402,NA,NA,NA,NA
Seedyield,GY,2015__HAN__HN_NF_RF,2015__KIE__HN_WF_RF,220,0.2681732887323891,0.4759820356919471,0.12188568299023765,NA,NA,NA,NA
Seedyield,GY,2015__HAN__HN_NF_RF,2015__KIE__LN_NF_RF,220,0.3738830506476353,0.5395513430968709,0.1305591720950891,NA,NA,NA,NA
Seedyield,GY,2015__HAN__HN_NF_RF,2015__QLB__HN_NF_RF,220,0.5820861717940243,0.7962471050303443,0.2604250685232911,NA,NA,NA,NA
Seedyield,GY,2015__HAN__HN_NF_RF,2015__QLB__HN_WF_RF,220,0.17086256863481863,0.490812169297262,0.10961892356655696,NA,NA,NA,NA
Seedyield,GY,2015__HAN__HN_NF_RF,2015__QLB__LN_NF_RF,220,0.6885847856171489,0.8178335765765259,0.32898279767968125,NA,NA,NA,NA
Seedyield,GY,2015__HAN__HN_NF_RF,2016__GGE__HN_NF_RF,220,0.7578665908689698,0.8101474673593932,0.3281236593971183,NA,NA,NA,NA
Seedyield,GY,2015__HAN__HN_NF_RF,2016__GGE__HN_WF_RF,220,0.5616218572160425,0.690238528594693,0.2243160200530032,NA,NA,NA,NA
Seedyield,GY,2015__HAN__HN_NF_RF,2016__GGE__LN_NF_RF,220,0.6180537644994611,0.7015761031877068,0.22754948521607682,NA,NA,NA,NA
Seedyield,GY,2015__HAN__HN_NF_RF,2016__HAN__HN_NF_RF,220,0.7777037169932391,0.8411353352529823,0.3292310607783278,NA,NA,NA,NA
Seedyield,GY,2015__HAN__HN_NF_RF,2016__HAN__HN_WF_RF,220,0.34602855904506874,0.564523309084147,0.14017925579623203,NA,NA,NA,NA
Seedyield,GY,2015__HAN__HN_NF_RF,2016__HAN__LN_NF_RF,220,0.6266162203419197,0.7216309878678936,0.20507904827941192,NA,NA,NA,NA
Seedyield,GY,2015__HAN__HN_NF_RF,2016__KAL__HN_NF_RF,220,0.7764666534894424,0.8415354186506484,0.3322802598445963,NA,NA,NA,NA
Seedyield,GY,2015__HAN__HN_NF_RF,2016__KAL__HN_WF_RF,220,0.44572769053525274,0.6271560832398867,0.17048809397885764,NA,NA,NA,NA
Seedyield,GY,2015__HAN__HN_NF_RF,2016__KAL__LN_NF_RF,220,0.7014467577931691,0.7941734333353995,0.24763701705534727,NA,NA,NA,NA
Seedyield,GY,2015__HAN__HN_NF_RF,2016__KIE__HN_NF_RF,216,0.6796870860061556,0.7726169637647506,0.2675522831185653,NA,NA,NA,NA
Seedyield,GY,2015__HAN__HN_NF_RF,2016__KIE__HN_WF_RF,216,0.2562725643121103,0.4829588349468319,0.1054756760900666,NA,NA,NA,NA
Seedyield,GY,2015__HAN__HN_NF_RF,2016__KIE__LN_NF_RF,215,0.46415937466038226,0.6317575889299428,0.15331047059763936,NA,NA,NA,NA
Seedyield,GY,2015__HAN__HN_NF_RF,2016__QLB__HN_NF_RF,220,0.5654654920018901,0.756070842936274,0.2629304187725066,NA,NA,NA,NA
Seedyield,GY,2015__HAN__HN_NF_RF,2016__QLB__HN_WF_RF,220,0.2503661283648256,0.5124166727712256,0.10763105146495966,NA,NA,NA,NA
Seedyield,GY,2015__HAN__HN_NF_RF,2016__QLB__LN_NF_RF,220,0.48109667109570886,0.7102381904960471,0.2288272711813698,NA,NA,NA,NA
