BRISONr,Condition,tem_yield,peso_disponivel,n_traits_disponiveis,MI_Index_Local
BRISONr_24,2017__GGE__LN_NF_RF,TRUE,1,4,0.9630724861879574
BRISONr_24,2017__HAN__HN_NF_RF,TRUE,1,4,-0.31570345360626295
BRISONr_24,2017__HAN__HN_WF_RF,TRUE,1,4,-0.0719953728935634
BRISONr_24,2017__HAN__LN_NF_RF,TRUE,1,4,-0.33680281579724153
BRISONr_24,2017__KAL__HN_NF_RF,TRUE,1,4,-0.4079269250505614
BRISONr_24,2017__KAL__HN_WF_RF,TRUE,1,4,0.004918032751830649
BRISONr_24,2017__KAL__LN_NF_RF,TRUE,1,4,-0.06560878875916085
BRISONr_24,2017__KIE__HN_NF_RF,TRUE,1,4,-0.23562446775899232
BRISONr_24,2017__KIE__HN_WF_RF,TRUE,1,4,-0.047647397735637254
BRISONr_24,2017__KIE__LN_NF_RF,TRUE,1,4,-0.06417914698833027
BRISONr_24,2017__QLB__HN_NF_RF,TRUE,1,4,0.34385657643618195
BRISONr_24,2017__QLB__HN_WF_RF,TRUE,1,4,-0.3605412251022556
BRISONr_24,2017__QLB__LN_NF_RF,TRUE,1,4,0.5178881026422841
BRISONr_25,2015__GGE__HN_NF_RF,TRUE,1,4,0.6102117418794895
BRISONr_25,2015__GGE__HN_WF_RF,TRUE,1,4,0.15426601919376653
BRISONr_25,2015__GGE__LN_NF_RF,TRUE,1,4,0.7492455505019597
BRISONr_25,2015__HAN__HN_NF_RF,TRUE,1,4,0.5754315223646254
BRISONr_25,2015__HAN__HN_WF_RF,TRUE,1,4,0.5332966039000119
BRISONr_25,2015__HAN__LN_NF_RF,TRUE,1,4,0.3261540706055063
BRISONr_25,2015__KAL__HN_NF_RF,TRUE,0.9232988434688713,3,0.5290284796443544
BRISONr_25,2015__KAL__HN_WF_RF,TRUE,0.9232988434688713,3,0.22052655070271585
BRISONr_25,2015__KAL__LN_NF_RF,TRUE,0.9232988434688713,3,-0.30344418152925
BRISONr_25,2015__KIE__HN_NF_RF,TRUE,1,4,0.4034592070299885
BRISONr_25,2015__KIE__HN_WF_RF,TRUE,1,4,0.00213484956851117
BRISONr_25,2015__KIE__LN_NF_RF,TRUE,1,4,0.21282383045437991
BRISONr_25,2015__QLB__HN_NF_RF,TRUE,1,4,1.0407889850385907
BRISONr_25,2015__QLB__HN_WF_RF,TRUE,1,4,-0.11642933633664167
BRISONr_25,2015__QLB__LN_NF_RF,TRUE,1,4,0.44126834423623823
BRISONr_25,2016__GGE__HN_NF_RF,TRUE,1,4,0.5151832503046816
BRISONr_25,2016__GGE__HN_WF_RF,TRUE,1,4,-0.14688955485533906
BRISONr_25,2016__GGE__LN_NF_RF,TRUE,1,4,0.1942696935973245
BRISONr_25,2016__HAN__HN_NF_RF,TRUE,1,4,0.9568518893854455
BRISONr_25,2016__HAN__HN_WF_RF,TRUE,1,4,0.2720975161933911
BRISONr_25,2016__HAN__LN_NF_RF,TRUE,1,4,0.5031624891036026
BRISONr_25,2016__KAL__HN_NF_RF,TRUE,1,4,1.0298875744416605
BRISONr_25,2016__KAL__HN_WF_RF,TRUE,1,4,0.3940422000587986
BRISONr_25,2016__KAL__LN_NF_RF,TRUE,1,4,0.0407837350803865
BRISONr_25,2016__KIE__HN_NF_RF,TRUE,1,4,0.5622191434815763
BRISONr_25,2016__KIE__HN_WF_RF,TRUE,1,4,-0.4335259389958449
BRISONr_25,2016__KIE__LN_NF_RF,TRUE,1,4,-0.11081566337391745
